time,seconds_elapsed,z,y,x
1772746255258282000,0.246281982421875,-0.013088226318359375,0.00034165382385253906,0.0013571977615356445
1772746255277149400,0.2651494140625,-0.019071578979492188,0.00032824277877807617,0.00036516785621643066
1772746255296016600,0.2840166015625,-0.011738777160644531,0.007551759481430054,0.0015215873718261719
1772746255314884000,0.302884033203125,-0.014277458190917969,0.0002995729446411133,-0.0006674230098724365
1772746255333751600,0.32175146484375,-0.008287429809570312,0.00033929944038391113,0.0028434693813323975
1772746255352618800,0.34061865234375,-0.01667499542236328,-0.002015024423599243,0.005154699087142944
1772746255371486200,0.359486328125,-0.015625953674316406,0.00041878223419189453,-0.004258841276168823
1772746255390353700,0.378353759765625,-0.01772022247314453,0.0028524398803710938,0.002973109483718872
1772746255409220900,0.397220947265625,-0.017874717712402344,0.0003483891487121582,0.004256516695022583
1772746255428088300,0.41608837890625,-0.01668262481689453,-0.0006045699119567871,-0.005328863859176636
1772746255446955800,0.434955810546875,-0.010848045349121094,-0.0019678473472595215,0.00388491153717041
1772746255465823000,0.453822998046875,-0.019222259521484375,-0.0018880665302276611,-0.0019515454769134521
1772746255484690400,0.4726904296875,-0.015470504760742188,-0.0044710636138916016,0.007575243711471558
1772746255503557600,0.4915576171875,-0.011729240417480469,0.003741621971130371,0.00876474380493164
1772746255522425000,0.510425048828125,-0.01665496826171875,0.0025658905506134033,-0.0028903186321258545
1772746255541292500,0.52929248046875,-0.020394325256347656,-0.001038670539855957,-0.0004406571388244629
1772746255560159700,0.54815966796875,-0.020092010498046875,0.004988878965377808,0.002271115779876709
1772746255579027200,0.567027099609375,-0.015461921691894531,0.0026889443397521973,0.0033454298973083496
1772746255597894700,0.585894775390625,-0.01322174072265625,-0.0021557211875915527,-0.0018471479415893555
1772746255616761900,0.604761962890625,-0.012925148010253906,0.005215078592300415,-0.002657979726791382
1772746255635629300,0.62362939453125,-0.01890850067138672,0.008846133947372437,-0.00015473365783691406
1772746255654496800,0.642496826171875,-0.020406723022460938,-0.0043344199657440186,0.004425764083862305
1772746255673364000,0.661364013671875,-0.019069671630859375,-0.001845628023147583,-0.00039139389991760254
1772746255692231400,0.6802314453125,-0.012030601501464844,0.0005365312099456787,0.00193062424659729
1772746255711098600,0.6990986328125,-0.016511917114257812,0.005310237407684326,0.006044715642929077
1772746255729966000,0.717966064453125,-0.01425933837890625,-0.004394948482513428,-0.00004032254219055176
1772746255748833500,0.73683349609375,-0.015301704406738281,0.002650052309036255,0.006984353065490723
1772746255767701000,0.755700927734375,-0.015444755554199219,-0.0010109245777130127,0.000007212162017822266
1772746255786568200,0.774568115234375,-0.011850357055664062,0.00366973876953125,0.0024758875370025635
1772746255805435600,0.793435546875,-0.010799407958984375,-0.003527015447616577,0.002677619457244873
1772746255824302800,0.812302734375,-0.01678466796875,0.0012989044189453125,0.0015272200107574463
1772746255843170300,0.83117041015625,-0.008402824401855469,-0.003561675548553467,0.0013706982135772705
1772746255862037800,0.850037841796875,-0.019168853759765625,-0.001239091157913208,0.0004887878894805908
1772746255880905000,0.868905029296875,-0.00600433349609375,0.0022963285446166992,0.0002364814281463623
