time,seconds_elapsed,z,y,x
1772783809137716200,0.18271630859375,-0.676952336102724,0.1441511351726949,0.6480242016516625
1772783809147726300,0.192726318359375,-0.7197305705994367,0.06945206894865259,0.6051669105693698
1772783809157766400,0.202766357421875,-0.6376017379671335,-0.003571848871093243,0.49599765692874787
1772783809167776300,0.2127763671875,-0.4659650683671236,-0.0847770455861464,0.3501356261849403
1772783809177816300,0.22281640625,-0.28075580048859117,-0.15967916010161862,0.21391104622781276
1772783809187826400,0.232826416015625,-0.12836509862840176,-0.25754472851008176,0.12996172017008065
1772783809197866200,0.2428662109375,-0.057695817643404,-0.34032873711548745,0.0512061633631587
1772783809207876000,0.2528759765625,0.008321253621578217,-0.37638665038123725,-0.016894143916666507
1772783809217916200,0.262916259765625,0.08838380137383937,-0.45314358071684835,-0.06506561575904488
1772783809227926300,0.27292626953125,0.12795710234940053,-0.5039236276224255,-0.11517090520821512
1772783809237966300,0.28296630859375,0.12695815443992614,-0.5082987009014934,-0.1289000822879374
1772783809247976200,0.29297607421875,0.10043956534862518,-0.5304016289750114,-0.140527757043764
1772783809258016300,0.303016357421875,0.060848144194483755,-0.5320811064945533,-0.1315288964215666
1772783809268056300,0.313056396484375,0.039815293037891386,-0.49558085628878323,-0.11125877326577902
1772783809278066400,0.32306640625,0.027941899892687794,-0.4471835398012772,-0.09772482649721205
1772783809288106200,0.333106201171875,0.005677461114525795,-0.4135225681420415,-0.08064378170631825
1772783809298116000,0.3431162109375,-0.04865910922884941,-0.39945597580149766,-0.04625321713089943
1772783809308156200,0.35315625,-0.09389233566224575,-0.34118334465082734,0.012418240611627697
1772783809318166300,0.363166259765625,-0.057146367067098615,-0.2905116534905508,0.08502477326951921
1772783809328207400,0.373207275390625,-0.0010743512332439423,-0.22100264845658094,0.13918664463311434
1772783809338216200,0.38321630859375,0.024044892454147336,-0.18910755395870654,0.2576251733351499
1772783809348257300,0.39325732421875,0.006119359663128853,-0.11078794088363647,0.397347897606343
1772783809358266400,0.403266357421875,0.0030775077491998672,0.0031841829940676687,0.43826004597023127
1772783809368307500,0.413307373046875,0.061116439741849896,0.04190444733686745,0.47196372426003214
1772783809378316300,0.42331640625,0.12627426382899284,0.038648002824187275,0.5112777897775173
1772783809388357000,0.433357177734375,0.18014497022628784,-0.03514799534659833,0.5137566009812057
1772783809398397200,0.443397216796875,0.23518179779350756,-0.15202519301604478,0.4996574215453118
1772783809408407300,0.4534072265625,0.27163667448759077,-0.21166659176927058,0.5048799054339528
1772783809418447400,0.463447265625,0.28288872086405753,-0.2774864234291017,0.49984885246418415
1772783809428457200,0.473457275390625,0.28396365661919115,-0.33547698623538014,0.501406311039254
1772783809438497300,0.483497314453125,0.2503390349149704,-0.39310470707863565,0.49386649011895056
1772783809448507400,0.49350732421875,0.21747546071112156,-0.45264162254407997,0.42591209411583836
1772783809458547500,0.50354736328125,0.1780155569821596,-0.448315722168982,0.3938083253033459
1772783809468557300,0.513557373046875,0.14394202246665955,-0.38890564795359966,0.3688645112480968
1772783809478597000,0.52359716796875,0.09910743996202945,-0.3323991131599992,0.34462153893858194
1772783809488607200,0.533607177734375,0.047529812937974925,-0.24341179293505846,0.3206767458580434
1772783809498647300,0.543647216796875,0.00599310293495655,-0.1684582587596029,0.31968583512455223
1772783809508657200,0.5536572265625,0.002243395012617111,-0.12921587023884057,0.33715207984074946
1772783809518697200,0.563697265625,-0.03770107736289501,-0.05927168865799903,0.37931532424427566
1772783809528738300,0.57373828125,-0.03609890286326408,-0.00000694119744002819,0.40429230991676446
1772783809538747400,0.583747314453125,0.020764555609226226,0.04594100937657058,0.3904217516049742
1772783809548788200,0.593788330078125,0.07221300329566001,0.043022564646601674,0.3957978916853666
1772783809558797300,0.60379736328125,0.1557511182039976,0.011466200583800672,0.4102354362301528
1772783809568838400,0.61383837890625,0.22384674930870532,-0.004547945627942681,0.4285606358632445
1772783809578847200,0.62384716796875,0.26774609678983685,-0.04467084331028163,0.48468043636158104
1772783809588888000,0.63388818359375,0.3668868544995785,-0.1266486500993371,0.5189336382929235
1772783809598897200,0.643897216796875,0.4352414288014173,-0.19830716131739318,0.5082710091769695
