time,seconds_elapsed,y,z,x
1772729808039849000,0.488848876953125,4.328750133514404,8.306249618530273,0.01249999925494194
1772729808049981000,0.49898095703125,4.367499828338623,8.306249618530273,0.01874999888241291
1772729808060143000,0.50914306640625,4.404999732971191,8.306249618530273,0.02499999850988388
1772729808070275000,0.519275146484375,4.443749904632568,8.306249618530273,0.032499998807907104
1772729808080407000,0.529406982421875,4.482500076293945,8.267499923706055,0
1772729808090569000,0.53956884765625,4.482500076293945,8.19124984741211,0.00624999962747097
1772729808100701000,0.549700927734375,4.482500076293945,7.424999713897705,0.01249999925494194
1772729808110833000,0.5598330078125,4.482500076293945,7.386250019073486,0.01874999888241291
1772729808120965000,0.569965087890625,4.482500076293945,7.386250019073486,0.02499999850988388
1772729808131097000,0.58009716796875,4.482500076293945,7.50124979019165,0.032499998807907104
1772729808141228000,0.59022802734375,4.482500076293945,8.536250114440918,0
1772729808151360000,0.600360107421875,4.443749904632568,9.809999465942383,0.00624999962747097
1772729808161492000,0.610491943359375,4.404999732971191,9.819999694824219,0.01249999925494194
1772729808171624000,0.6206240234375,4.328750133514404,9.829999923706055,0.01874999888241291
1772729808181756000,0.630755859375,3.716249942779541,9.84000015258789,0.02499999850988388
1772729808191888000,0.640887939453125,3.716249942779541,9.84999942779541,0.032499998807907104
1772729808202019000,0.65101904296875,3.716249942779541,9.800000190734863,0
1772729808212151000,0.661151123046875,3.716249942779541,7.846250057220459,0.00624999962747097
1772729808222283000,0.671282958984375,3.716249942779541,7.118749618530273,0.01249999925494194
1772729808232415000,0.6814150390625,3.716249942779541,7.003749847412109,0.01874999888241291
1772729808242547000,0.691546875,3.716249942779541,6.198750019073486,0.02499999850988388
1772729808252679000,0.701678955078125,3.716249942779541,6.16124963760376,0.032499998807907104
1772729808262810000,0.71181005859375,3.677500009536743,6.122499942779541,0
1772729808272942000,0.721942138671875,3.638749837875366,6.122499942779541,0.00624999962747097
1772729808283074000,0.732073974609375,3.601249933242798,6.122499942779541,0.01249999925494194
1772729808293206000,0.7422060546875,3.5249998569488525,6.122499942779541,0.01874999888241291
1772729808303338000,0.752337890625,2.911249876022339,6.122499942779541,0.02499999850988388
1772729808313470000,0.762469970703125,2.8737499713897705,6.16124963760376,0.032499998807907104
1772729808323632000,0.772632080078125,2.8350000381469727,6.198750019073486,0
1772729808333764000,0.78276416015625,2.7962498664855957,6.237499713897705,0.00624999962747097
1772729808343896000,0.79289599609375,2.7587499618530273,6.237499713897705,0.9574999809265137
1772729808354027000,0.803027099609375,2.7200000286102295,6.237499713897705,0.9962499737739563
1772729808364159000,0.813158935546875,2.6812498569488525,6.31374979019165,0.9962499737739563
1772729808374291000,0.823291015625,2.643749952316284,6.964999675750732,0.9962499737739563
1772729808384423000,0.8334228515625,2.6050000190734863,7.003749847412109,0.9962499737739563
1772729808394555000,0.843554931640625,2.6050000190734863,7.079999923706055,0.9574999809265137
1772729808404687000,0.85368701171875,2.6050000190734863,7.15625,0.9199999570846558
1772729808414818000,0.863818115234375,2.6050000190734863,7.15625,0.8812499642372131
1772729808424950000,0.873949951171875,2.6050000190734863,7.15625,0.8424999713897705
1772729808435082000,0.88408203125,2.643749952316284,7.15625,0.8050000071525574
1772729808445214000,0.8942138671875,2.7200000286102295,7.15625,0
1772729808455346000,0.904345947265625,3.447499990463257,7.15625,0.00624999962747097
1772729808465478000,0.914477783203125,3.5249998569488525,7.233749866485596,0.01249999925494194
1772729808475609000,0.924609130859375,4.289999961853027,7.846250057220459,0.01874999888241291
