time,seconds_elapsed,y,z,x
1772729333939706000,0.4627060546875,4.712500095367432,7.386250019073486,0.02499999850988388
1772729333949838000,0.472838134765625,4.712500095367432,7.386250019073486,0.032499998807907104
1772729333959969000,0.482968994140625,4.712500095367432,7.386250019073486,0
1772729333970132000,0.493132080078125,4.712500095367432,7.386250019073486,0.00624999962747097
1772729333980264000,0.503263916015625,4.712500095367432,7.34874963760376,0.01249999925494194
1772729333990395000,0.513394775390625,4.712500095367432,7.309999942779541,0.01874999888241291
1772729334000527000,0.523527099609375,4.712500095367432,7.271249771118164,0.02499999850988388
1772729334010659000,0.5336591796875,4.712500095367432,7.233749866485596,0.032499998807907104
1772729334020791000,0.543791015625,4.712500095367432,7.233749866485596,0
1772729334030953000,0.553952880859375,4.712500095367432,7.233749866485596,0.00624999962747097
1772729334041116000,0.564115966796875,4.712500095367432,7.194999694824219,0.01249999925494194
1772729334051247000,0.5742470703125,4.712500095367432,7.194999694824219,0.01874999888241291
1772729334061410000,0.58441015625,4.712500095367432,7.15625,0.02499999850988388
1772729334071572000,0.594572021484375,4.712500095367432,7.15625,0.032499998807907104
1772729334081734000,0.60473388671875,4.712500095367432,7.15625,0
1772729334091897000,0.61489697265625,4.712500095367432,7.15625,0.00624999962747097
1772729334102059000,0.62505908203125,4.712500095367432,7.15625,0.01249999925494194
1772729334112191000,0.63519091796875,4.712500095367432,7.15625,0.01874999888241291
1772729334122323000,0.645322998046875,4.712500095367432,7.15625,0.02499999850988388
1772729334132455000,0.655454833984375,4.712500095367432,7.15625,0.032499998807907104
1772729334142587000,0.6655869140625,4.712500095367432,7.15625,0
1772729334152718000,0.675718017578125,4.712500095367432,7.15625,0.00624999962747097
1772729334162850000,0.68585009765625,4.712500095367432,7.15625,0.01249999925494194
1772729334172982000,0.69598193359375,4.712500095367432,7.15625,0.01874999888241291
1772729334183114000,0.706114013671875,4.712500095367432,7.15625,0.02499999850988388
1772729334193246000,0.716245849609375,4.712500095367432,7.118749618530273,0.032499998807907104
1772729334203378000,0.7263779296875,4.712500095367432,7.079999923706055,0
1772729334213509000,0.736509033203125,4.712500095367432,7.041249752044678,0.00624999962747097
1772729334223641000,0.74664111328125,4.712500095367432,7.003749847412109,0.01249999925494194
1772729334233773000,0.75677294921875,4.712500095367432,7.003749847412109,0.01874999888241291
1772729334243905000,0.766905029296875,4.712500095367432,7.003749847412109,0.02499999850988388
1772729334254067000,0.77706689453125,4.712500095367432,7.003749847412109,0.032499998807907104
1772729334264199000,0.787198974609375,4.712500095367432,7.003749847412109,0
1772729334274361000,0.797361083984375,4.712500095367432,6.964999675750732,0.00624999962747097
1772729334284493000,0.8074931640625,4.712500095367432,6.964999675750732,0.01249999925494194
1772729334294625000,0.817625,4.712500095367432,6.964999675750732,0.01874999888241291
1772729334304757000,0.827757080078125,4.712500095367432,6.964999675750732,0.02499999850988388
1772729334314889000,0.837888916015625,4.712500095367432,6.964999675750732,0.032499998807907104
1772729334325021000,0.84802099609375,4.712500095367432,6.964999675750732,0
1772729334335183000,0.85818310546875,4.712500095367432,6.964999675750732,0.00624999962747097
1772729334345315000,0.868315185546875,4.712500095367432,6.964999675750732,0.01249999925494194
1772729334355477000,0.87847705078125,4.673749923706055,6.964999675750732,0.01874999888241291
1772729334365609000,0.88860888671875,4.634999752044678,7.003749847412109,0.02499999850988388
1772729334375741000,0.898740966796875,4.634999752044678,7.041249752044678,0.032499998807907104
1772729334385873000,0.908872802734375,4.634999752044678,7.079999923706055,0
1772729334396004000,0.919004150390625,4.634999752044678,7.15625,0.00624999962747097
1772729334406136000,0.929135986328125,4.634999752044678,7.233749866485596,0.01249999925494194
1772729334416268000,0.93926806640625,4.634999752044678,7.271249771118164,0.01874999888241291
1772729334426400000,0.94939990234375,4.634999752044678,7.271249771118164,0.02499999850988388
1772729334436532000,0.959531982421875,4.634999752044678,7.309999942779541,0.032499998807907104
1772729334446664000,0.969663818359375,4.634999752044678,7.34874963760376,0
1772729334456796000,0.9797958984375,4.634999752044678,7.34874963760376,0.00624999962747097
1772729334466927000,0.989927001953125,4.634999752044678,7.34874963760376,0.01249999925494194
